"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Addax nasomaculatus","Addax nasomaculatus","diurnal","Addax_nasomaculatus","diurnal","diurnal","diurnal"
"Aepyceros melampus","Aepyceros melampus","cathemeral","Aepyceros_melampus",NA,"crepuscular","cathemeral"
"Alcelaphus buselaphus","Alcelaphus buselaphus","diurnal","Alcelaphus_buselaphus","diurnal","diurnal","diurnal"
"Alces alces","Alces alces","cathemeral","Alces_alces",NA,"crepuscular","cathemeral"
"Ammodorcas clarkei","Ammodorcas clarkei","diurnal","Ammodorcas_clarkei","diurnal","diurnal","diurnal"
"Ammotragus lervia","Ammotragus lervia","diurnal","Ammotragus_lervia","diurnal","diurnal","diurnal"
"Antidorcas marsupialis","Antidorcas marsupialis","cathemeral","Antidorcas_marsupialis",NA,"crepuscular","cathemeral"
"Antilocapra americana","Antilocapra americana","cathemeral","Antilocapra_americana",NA,"crepuscular","cathemeral"
"Antilope cervicapra","Antilope cervicapra","diurnal","Antilope_cervicapra","diurnal","diurnal","diurnal"
"Arabitragus jayakari","Arabitragus jayakari","cathemeral","Arabitragus_jayakari",NA,"crepuscular","cathemeral"
"Axis axis","Axis axis","cathemeral/crepuscular","Axis_axis",NA,"crepuscular","cathemeral"
"Axis calamianensis","Axis calamianensis","diurnal","Axis_calamianensis","diurnal","diurnal","diurnal"
"Axis kuhlii","Axis kuhlii","diurnal","Axis_kuhlii","diurnal","diurnal","diurnal"
"Axis porcinus","Axis porcinus","cathemeral/crepuscular","Axis_porcinus",NA,"crepuscular","cathemeral"
"Babyrousa babyrussa","Babyrousa babyrussa","diurnal","Babyrousa_babyrussa","diurnal","diurnal","diurnal"
"Babyrousa celebensis","Babyrousa celebensis","diurnal","Babyrousa_celebensis","diurnal","diurnal","diurnal"
"Babyrousa togeanensis","Babyrousa togeanensis","diurnal","Babyrousa_togeanensis","diurnal","diurnal","diurnal"
"Beatragus hunteri","Beatragus hunteri","cathemeral/crepuscular","Beatragus_hunteri",NA,"crepuscular","cathemeral"
"Bison bison","Bison bison","cathemeral","Bison_bison",NA,"crepuscular","cathemeral"
"Bison bonasus","Bison bonasus","cathemeral","Bison_bonasus",NA,"crepuscular","cathemeral"
"Blastocerus dichotomus","Blastocerus dichotomus","nocturnal","Blastocerus_dichotomus","nocturnal","nocturnal","nocturnal"
