"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Addax nasomaculatus","Addax nasomaculatus","Diurnal","Addax_nasomaculatus","Diurnal","Diurnal","Diurnal"
"Aepyceros melampus","Aepyceros melampus","Cathemeral","Aepyceros_melampus",NA,"Cathemeral","Cathemeral"
"Alcelaphus buselaphus","Alcelaphus buselaphus","Diurnal","Alcelaphus_buselaphus","Diurnal","Diurnal","Diurnal"
"Alces alces","Alces alces","Nocturnal/Crepuscular","Alces_alces","Nocturnal","Crepuscular","Nocturnal"
"Ammodorcas clarkei","Ammodorcas clarkei","Diurnal","Ammodorcas_clarkei","Diurnal","Diurnal","Diurnal"
"Ammotragus lervia","Ammotragus lervia","Diurnal/Crepuscular","Ammotragus_lervia","Diurnal","Crepuscular","Diurnal"
"Antidorcas marsupialis","Antidorcas marsupialis","Cathemeral","Antidorcas_marsupialis",NA,"Cathemeral","Cathemeral"
"Antilocapra americana","Antilocapra americana","Cathemeral","Antilocapra_americana",NA,"Cathemeral","Cathemeral"
"Antilope cervicapra","Antilope cervicapra","Diurnal/Crepuscular","Antilope_cervicapra","Diurnal","Crepuscular","Diurnal"
"Arabitragus jayakari","Arabitragus jayakari","Cathemeral","Arabitragus_jayakari",NA,"Cathemeral","Cathemeral"
"Axis axis","Axis axis","Cathemeral/Crepuscular","Axis_axis",NA,"Crepuscular","Cathemeral"
"Axis calamianensis","Axis calamianensis","Diurnal","Axis_calamianensis","Diurnal","Diurnal","Diurnal"
"Axis kuhlii","Axis kuhlii","Diurnal","Axis_kuhlii","Diurnal","Diurnal","Diurnal"
"Axis porcinus","Axis porcinus","Crepuscular","Axis_porcinus",NA,"Crepuscular","Cathemeral"
"Babyrousa babyrussa","Babyrousa babyrussa","Diurnal","Babyrousa_babyrussa","Diurnal","Diurnal","Diurnal"
"Babyrousa celebensis","Babyrousa celebensis","Diurnal","Babyrousa_celebensis","Diurnal","Diurnal","Diurnal"
"Babyrousa togeanensis","Babyrousa togeanensis","Diurnal","Babyrousa_togeanensis","Diurnal","Diurnal","Diurnal"
"Beatragus hunteri","Beatragus hunteri","Crepuscular","Beatragus_hunteri",NA,"Crepuscular","Cathemeral"
"Bison bison","Bison bison","Cathemeral","Bison_bison",NA,"Cathemeral","Cathemeral"
"Bison bonasus","Bison bonasus","Cathemeral","Bison_bonasus",NA,"Cathemeral","Cathemeral"
"Blastocerus dichotomus","Blastocerus dichotomus","Cathemeral/Crepuscular","Blastocerus_dichotomus",NA,"Crepuscular","Cathemeral"
"Bos gaurus","Bos gaurus","Cathemeral","Bos_gaurus",NA,"Cathemeral","Cathemeral"
"Bos javanicus","Bos javanicus","Cathemeral/Crepuscular","Bos_javanicus",NA,"Crepuscular","Cathemeral"
"Bos mutus","Bos mutus","Cathemeral","Bos_mutus",NA,"Cathemeral","Cathemeral"
"Bos sauveli","Bos sauveli","Cathemeral","Bos_sauveli",NA,"Cathemeral","Cathemeral"
"Boselaphus tragocamelus","Boselaphus tragocamelus","Nocturnal/Crepuscular","Boselaphus_tragocamelus","Nocturnal","Crepuscular","Nocturnal"
"Bubalus arnee","Bubalus arnee","Cathemeral","Bubalus_arnee",NA,"Cathemeral","Cathemeral"
"Bubalus depressicornis","Bubalus depressicornis","Cathemeral","Bubalus_depressicornis",NA,"Cathemeral","Cathemeral"
"Bubalus mindorensis","Bubalus mindorensis","Diurnal/Crepuscular","Bubalus_mindorensis","Diurnal","Crepuscular","Diurnal"
"Bubalus quarlesi","Bubalus quarlesi","Cathemeral","Bubalus_quarlesi",NA,"Cathemeral","Cathemeral"
"Budorcas taxicolor","Budorcas taxicolor","Diurnal","Budorcas_taxicolor","Diurnal","Diurnal","Diurnal"
"Camelus ferus","Camelus ferus","Diurnal","Camelus_ferus","Diurnal","Diurnal","Diurnal"
"Capra aegagrus","Capra aegagrus","Diurnal","Capra_aegagrus","Diurnal","Diurnal","Diurnal"
"Capra caucasica","Capra caucasica","Diurnal","Capra_caucasica","Diurnal","Diurnal","Diurnal"
"Capra cylindricornis","Capra cylindricornis","Diurnal","Capra_cylindricornis","Diurnal","Diurnal","Diurnal"
"Capra falconeri","Capra falconeri","Diurnal","Capra_falconeri","Diurnal","Diurnal","Diurnal"
"Capra ibex","Capra ibex","Diurnal","Capra_ibex","Diurnal","Diurnal","Diurnal"
"Capra nubiana","Capra nubiana","Diurnal","Capra_nubiana","Diurnal","Diurnal","Diurnal"
